"MW.g.mol.","melting.point......","XLogP3","Hydrogen.Bond.Donor.Count","Hydrogen.Bond.Acceptor.Count","Rotatable.Bond.Count","Topological.Polar.Surface.Area.A.2.","Heavy.Atom.Count","Complexity","logS","Polymers","Drug.loading.ratio","Preparation.method.hot.melt.extrution.1.1..solvent.evaporation.2.2..","temperature......","Relative.Humidity.....","X3month..stabable.1..not.stable.0..","X6month..stabable.1..not.stable.0.."
0.277739374515595,0,0.569620253164557,0,0.272727272727273,0.583333333333333,0.357887421820709,0.25,0.214709371293001,0.145454545454545,0.285714285714286,0.131313131313131,0,0.310344827586207,0,0,0
0.277739374515595,0,0.569620253164557,0,0.272727272727273,0.583333333333333,0.357887421820709,0.25,0.214709371293001,0.145454545454545,0.285714285714286,0.131313131313131,0,0.181034482758621,0,0,0
0.320764992982677,0.446685878962536,0.341772151898734,0.25,0.545454545454545,0.25,0.59277275886032,0.28125,0.355871886120996,0.193939393939394,0.285714285714286,0.0101010101010101,0,0.310344827586207,0.75,1,1
0.320764992982677,0.446685878962536,0.341772151898734,0.25,0.545454545454545,0.25,0.59277275886032,0.28125,0.355871886120996,0.193939393939394,0.285714285714286,0.0101010101010101,0,0.181034482758621,0.75,1,1
0.320764992982677,0.446685878962536,0.341772151898734,0.25,0.545454545454545,0.25,0.59277275886032,0.28125,0.355871886120996,0.193939393939394,0.285714285714286,0.0101010101010101,0,0.310344827586207,0,1,1
0.320764992982677,0.446685878962536,0.341772151898734,0.25,0.545454545454545,0.25,0.59277275886032,0.28125,0.355871886120996,0.193939393939394,0.285714285714286,0.0101010101010101,0,0.181034482758621,0,1,1
0.320764992982677,0.446685878962536,0.341772151898734,0.25,0.545454545454545,0.25,0.59277275886032,0.28125,0.355871886120996,0.193939393939394,0.285714285714286,0.131313131313131,0,0.310344827586207,0.75,1,1
0.320764992982677,0.446685878962536,0.341772151898734,0.25,0.545454545454545,0.25,0.59277275886032,0.28125,0.355871886120996,0.193939393939394,0.285714285714286,0.131313131313131,0,0.181034482758621,0.75,1,1
0.320764992982677,0.446685878962536,0.341772151898734,0.25,0.545454545454545,0.25,0.59277275886032,0.28125,0.355871886120996,0.193939393939394,0.285714285714286,0.131313131313131,0,0.310344827586207,0,1,1
0.320764992982677,0.446685878962536,0.341772151898734,0.25,0.545454545454545,0.25,0.59277275886032,0.28125,0.355871886120996,0.193939393939394,0.285714285714286,0.131313131313131,0,0.181034482758621,0,1,1
0.0168206288359622,0.717579250720461,0.227848101265823,0.25,0,0,0.31410701876303,0.03125,0.0581257413997628,0.296969696969697,0.285714285714286,0.0101010101010101,0,0.310344827586207,0.75,0,0
0.0168206288359622,0.717579250720461,0.227848101265823,0.25,0,0,0.31410701876303,0.03125,0.0581257413997628,0.296969696969697,0.285714285714286,0.0101010101010101,0,0.181034482758621,0.75,0,0
0.0168206288359622,0.717579250720461,0.227848101265823,0.25,0,0,0.31410701876303,0.03125,0.0581257413997628,0.296969696969697,0.285714285714286,0.0101010101010101,0,0.310344827586207,0,0,0
0.0168206288359622,0.717579250720461,0.227848101265823,0.25,0,0,0.31410701876303,0.03125,0.0581257413997628,0.296969696969697,0.285714285714286,0.0101010101010101,0,0.181034482758621,0,0,0
0.0168206288359622,0.717579250720461,0.227848101265823,0.25,0,0,0.31410701876303,0.03125,0.0581257413997628,0.296969696969697,0.285714285714286,0.131313131313131,0,0.310344827586207,0.75,0,0
0.0168206288359622,0.717579250720461,0.227848101265823,0.25,0,0,0.31410701876303,0.03125,0.0581257413997628,0.296969696969697,0.285714285714286,0.131313131313131,0,0.181034482758621,0.75,0,0
0.0168206288359622,0.717579250720461,0.227848101265823,0.25,0,0,0.31410701876303,0.03125,0.0581257413997628,0.296969696969697,0.285714285714286,0.131313131313131,0,0.181034482758621,0,0,0
0.326797796350992,0.371757925072046,0.405063291139241,0.25,0.363636363636364,0.5,0.441278665740097,0.25,0.399762752075919,0.206060606060606,0.142857142857143,0.0606060606060606,1,0.655172413793103,0,1,1
0.326797796350992,0.371757925072046,0.405063291139241,0.25,0.363636363636364,0.5,0.441278665740097,0.25,0.399762752075919,0.206060606060606,1,0.0787878787878788,1,0.655172413793103,0,1,1
0.326797796350992,0.371757925072046,0.405063291139241,0.25,0.363636363636364,0.5,0.441278665740097,0.25,0.399762752075919,0.206060606060606,0.357142857142857,0.094949494949495,1,0.655172413793103,0,1,1
0.247365885334841,0.53314121037464,0.253164556962025,0.25,0.545454545454545,0.416666666666667,0.75677553856845,0.25,0.392645314353499,0.23030303030303,0.428571428571429,0,0,0.310344827586207,0.05,0,0
