MW(g/mol),melting point( ??,XLogP3,Hydrogen Bond Donor Count,Hydrogen Bond Acceptor Count,Rotatable Bond Count,Topological Polar Surface Area(A^2),Heavy Atom Count,Complexity,logS,Polymer code,Drug loading ratio,Preparation method(hot melt extrution-1=1?solvent evaporation=2=2?,temperature???,Relative Humidity?%?,3month?stabable=1?not stable=0?
384.25376,145,3.9,1,5,6,64.6,25,614,-4.7,13,0.5,2,25,0,1
384.25376,145,3.9,1,5,6,64.6,25,614,-4.7,13,0.5,2,25,33,1
384.25376,145,3.9,1,5,6,64.6,25,614,-4.7,13,0.5,2,25,52,1
357.78764,151,4.3,1,4,4,68.5,25,506,-5.2,5,0.7,1,40,75,1
357.78764,151,4.3,1,4,4,68.5,25,506,-5.2,5,0.5,1,40,75,1
357.78764,151,4.3,1,4,4,68.5,25,506,-5.2,5,0.3,1,40,75,1
357.78764,151,4.3,1,4,4,68.5,25,506,-5.2,1,0.7,1,40,75,1
357.78764,151,4.3,1,4,4,68.5,25,506,-5.2,1,0.5,1,40,75,1
357.78764,151,4.3,1,4,4,68.5,25,506,-5.2,1,0.3,1,40,75,0
357.78764,151,4.3,1,4,4,68.5,25,506,-5.2,12,0.7,1,40,75,1
357.78764,151,4.3,1,4,4,68.5,25,506,-5.2,12,0.5,1,40,75,1
357.78764,151,4.3,1,4,4,68.5,25,506,-5.2,12,0.3,1,40,75,0
477.03752,222.1,5,1,3,7,43.8,34,623,-5.7,14,0.2,2,4,0,1
335.84832,157,4.9,1,3,5,66.5,22,412,-4.4,12,0.1,2,6,0,1
335.84832,157,4.9,1,3,5,66.5,22,412,-4.4,12,0.1,2,25,25,1
500.42371,199,8.6,1,5,10,23.5,33,584,-6.7,14,0.8,1,40,75,0
500.42371,199,8.6,1,5,10,23.5,33,584,-6.7,14,0.1,1,40,75,0
500.42371,199,8.6,1,5,10,23.5,33,584,-6.7,14,0.14,1,40,75,1
