Molecular Weight?g/mol?,Topological Polar Surface Area,Rotatable Bond Count,Hydrogen Bond Donor Count,Hydrogen Bond Acceptor Count,Heavy Atom Count,Complexity,Covalently-Bonded Unit Count,Melting Point,y,,
0.254197328,0.200246609,0.454545455,0.285714286,0.16,0.240506329,0.160939539,0.5,0.344785125,0.393258427,0,0
0.264410774,0.143279901,0.272727273,0.071428571,0.16,0.240506329,0.253588517,0,0.369412634,0.838951311,0,0
0.159240054,0.213810111,0.136363636,0.142857143,0.2,0.164556962,0.197042192,0,0.273981037,0.644194757,0,0
0.260383101,0.160049322,0.181818182,0,0.12,0.253164557,0.209221401,0.5,0.387883266,0.820224719,0,0
0.266265967,0.454993835,0.227272727,0.285714286,0.36,0.265822785,0.212701174,0.5,0.655707425,0.925093633,0,0
0.238405721,0.062392109,0.181818182,0.071428571,0.08,0.202531646,0.133971292,0.5,0.469461889,0.816479401,0,0
0.080971423,0.15487053,0,0.071428571,0.08,0.088607595,0.102653328,0,0.763452777,0.947565543,0,0
0.32043597,0.233045623,0.318181818,0.142857143,0.2,0.329113924,0.348412353,0,0.60029553,0.831460674,0,0
0.358220238,0.24784217,0.409090909,0.071428571,0.24,0.367088608,0.394519356,0,0.60029553,0.831460674,0,0
0.307828032,0.233045623,0.272727273,0.142857143,0.2,0.316455696,0.341887777,0,0.60029553,0.831460674,0,0
0.148444164,0.316892725,0.227272727,0.285714286,0.16,0.151898734,0.137016094,0,0.692648689,0.228464419,0,0
0.235847641,0.297163995,0.409090909,0.285714286,0.2,0.240506329,0.12092214,0.5,0.157769979,0.973782772,0,0
0.178612614,0.265104809,0.318181818,0.285714286,0.12,0.151898734,0.115267508,0.5,0.360177318,0.370786517,0,0
0.319174907,0.383477189,0.409090909,0.142857143,0.28,0.278481013,0.221835581,0.5,0.449452038,0.820224719,0,0
0.343681604,0.331689273,0.181818182,0.285714286,0.32,0.329113924,0.409743367,0,0.537187538,0.797752809,0,0
0.413949717,0.272503083,0.090909091,0.214285714,0.32,0.443037975,0.159199652,1,0.52659771,0.883895131,0,0
0.329538458,0.090998767,0.5,0,0.08,0.341772152,0.307959983,0,0.40019702,0.951310861,0,0
0.424886724,0.18594328,0,0.357142857,0.16,0.443037975,0.152675076,1,0.389422485,0.790262172,0,0
