"Molecular.Weight..g.mol..","XLogP3","Hydrogen.Bond.Donor.Count","Hydrogen.Bond.Acceptor.Count","Rotatable.Bond.Count","Topological.Polar.Surface.Area.A.2.","Heavy.Atom.Count","Complexity","logS","Ratio..g.ml.","Name","Ratio..g.ml..1","Name.1","Ratio..g.ml..2","Name.2","Ratio..g.ml..3","Name.3","Ratio..g.ml..4","y"
0.713100122138361,0.584905660377358,0.5,0.666666666666667,0.777777777777778,0.474538745387454,0.727272727272727,0.737735849056604,0.622406639004149,0.022235759975632,0,0.0535878564857406,0.5,0.014,0.125,0.25,0.333333333333333,0.5625,0.09
0.713100122138361,0.584905660377358,0.5,0.666666666666667,0.777777777777778,0.474538745387454,0.727272727272727,0.737735849056604,0.622406639004149,0.022235759975632,0,0.0369135234590616,0.5,0.02,0.125,0.25,0.333333333333333,0.9375,0.06
0.713100122138361,0.584905660377358,0.5,0.666666666666667,0.777777777777778,0.474538745387454,0.727272727272727,0.737735849056604,0.622406639004149,0.022235759975632,0,0.0535878564857406,0.5,0.02,0.125,0.25,0.333333333333333,0.5625,0.08
0.713100122138361,0.584905660377358,0.5,0.666666666666667,0.777777777777778,0.474538745387454,0.727272727272727,0.737735849056604,0.622406639004149,0.022235759975632,0,0.0702621895124195,0.5,0.014,0.125,0.25,0.333333333333333,0.1875,0.11
0.713100122138361,0.584905660377358,0.5,0.666666666666667,0.777777777777778,0.474538745387454,0.727272727272727,0.737735849056604,0.622406639004149,0.022235759975632,0,0.0340386384544618,0.5,0.025,0.125,0.25,0.333333333333333,0.875,0.06
0.713100122138361,0.584905660377358,0.5,0.666666666666667,0.777777777777778,0.474538745387454,0.727272727272727,0.737735849056604,0.622406639004149,0.022235759975632,0,0.0702621895124195,0.5,0.02,0.125,0.25,0.333333333333333,0.1875,0.09
0.713100122138361,0.584905660377358,0.5,0.666666666666667,0.777777777777778,0.474538745387454,0.727272727272727,0.737735849056604,0.622406639004149,0.022235759975632,0,0.0397884084636615,0.5,0.015,0.125,0.25,0.333333333333333,1,0.09
0,0.0377358490566038,0,0.166666666666667,0,0.338745387453875,0.0454545454545455,0.307547169811321,0.981327800829876,0.99695400548279,0.0769230769230769,0.280128794848206,0.75,0.1245,0.25,0.17,0,0,0.0789
0,0.0377358490566038,0,0.166666666666667,0,0.338745387453875,0.0454545454545455,0.307547169811321,0.981327800829876,0.500456899177582,0.153846153846154,0.711361545538179,0.75,0.125,0.25,0.165,0,0,0.1485
0,0.0377358490566038,0,0.166666666666667,0,0.338745387453875,0.0454545454545455,0.307547169811321,0.981327800829876,0.497410904660372,0.153846153846154,0.304852805887765,0.75,0.124,0.25,0.165,0,0,0.066
