Molecular Weight?g/mol?,Topological Polar Surface Area,Rotatable Bond Count,Hydrogen Bond Donor Count,Hydrogen Bond Acceptor Count,Heavy Atom Count,Complexity,Covalently-Bonded Unit Count,Melting Point,,y,
0.097821006,0.127697842,0.054054054,0.055555556,0.076923077,0.091836735,0.051578947,0,0.150473343,0,0.473053892,0
0.335701623,0.248201439,0.189189189,0.166666667,0.307692308,0.336734694,0.344210526,0.166666667,0.205696728,0,0.532934132,0
0.310569991,0.248201439,0.189189189,0.166666667,0.307692308,0.316326531,0.318596491,0,0.195316393,0,0.539520958,0
0.238714963,0.170503597,0.054054054,0.166666667,0.192307692,0.244897959,0.24,0,0.195316393,0,0.539520958,0
0.22488937,0.077517986,0.027027027,0,0.115384615,0.214285714,0.165614035,0,0.206942368,0,0.588023952,0
0.247339175,0.170503597,0.054054054,0.166666667,0.192307692,0.255102041,0.264561404,0,0.205696728,0,0.532934132,0
0.200159115,0.077517986,0.027027027,0,0.115384615,0.204081633,0.152280702,0,0.202582627,0,0.57005988,0
0.25599498,0.108633094,0.081081081,0,0.153846154,0.265306122,0.269122807,0,0.190749045,0,0.652694611,0
0.274722537,0.078057554,0.135135135,0,0.115384615,0.285714286,0.256842105,0,0.141338648,0,0.641916168,0
0.309780162,0.230215827,0.189189189,0.277777778,0.269230769,0.265306122,0.176140351,0.166666667,0.130543099,0,0.57245509,0
0.263203244,0.083633094,0.135135135,0.055555556,0.115384615,0.275510204,0.209473684,0,0.138432154,0,0.683233533,0
0.277522839,0.181654676,0.108108108,0.111111111,0.230769231,0.285714286,0.301052632,0,0.205696728,0,0.532934132,0
0.127248589,0.18705036,0.081081081,0.277777778,0.230769231,0.12244898,0.062807018,0,0.107291148,0,0.281437126,0
0.094944594,0.028956835,0.027027027,0,0.076923077,0.102040816,0.051578947,0,0.078226208,0,0.513173653,0
0.19128503,0.061330935,0,0,0.076923077,0.204081633,0.229122807,0,0.141446604,0,0.664670659,0
0.264511487,0.262589928,0.162162162,0.166666667,0.346153846,0.265306122,0.282105263,0,0.195316393,0,0.592814371,0
0.091337948,0.113848921,0.054054054,0.111111111,0.115384615,0.091836735,0.04877193,0,0.26175054,0,0.461077844,0
0.174036606,0.072841727,0,0.111111111,0.076923077,0.183673469,0.134035088,0,0.138432154,0,0.683233533,0
0.197259725,0.177697842,0.081081081,0.166666667,0.230769231,0.183673469,0.141754386,0.166666667,0.173725295,0,0.28742515,0
0.254547439,0.108633094,0.081081081,0,0.153846154,0.265306122,0.288070175,0,0.194485966,0,0.634730539,0
0.458484807,0.372302158,0.189189189,0.222222222,0.615384615,0.448979592,0.4,0,0.214831423,0,0.479041916,0
0.248768765,0.134172662,0.027027027,0.111111111,0.192307692,0.255102041,0.276140351,0,0.259674473,0,0.562874251,0
0.248726401,0.262589928,0.162162162,0.277777778,0.269230769,0.255102041,0.150877193,0.166666667,0.150473343,0,0.568862275,0
0.260256465,0.170503597,0.054054054,0.166666667,0.230769231,0.265306122,0.28245614,0,0.178292642,0,0.552694611,0
0.248001913,0.147661871,0.108108108,0.111111111,0.307692308,0.255102041,0.229122807,0,0.165005813,0,0.598802395,0
0.156740793,0.170143885,0.054054054,0.111111111,0.153846154,0.153061224,0.107368421,0,0.158362398,0,0.501197605,0
