Molecular Weight?g/mol?,Topological Polar Surface Area,Rotatable Bond Count,Hydrogen Bond Donor Count,Hydrogen Bond Acceptor Count,Heavy Atom Count,Complexity,Covalently-Bonded Unit Count,Melting Point,,y,
0.425890729,0.20323741,0.135135135,0.111111111,0.307692308,0.428571429,0.421052632,0.166666667,0.19739246,0,0.634730539,0
0.177513289,0.132553957,0.243243243,0.222222222,0.153846154,0.142857143,0.038245614,0.333333333,0.156286331,0,0.425149701,0
0.264442557,0.106294964,0.135135135,0.055555556,0.192307692,0.224489796,0.159298246,0.166666667,0.199468527,0,0.288622754,0
0.295478518,0.242805755,0.378378378,0.222222222,0.346153846,0.295918367,0.139298246,0.166666667,0.095665172,0,0.55508982,0
0.53627073,0.166906475,0.135135135,0.166666667,0.192307692,0.224489796,0.147368421,0,0.208188009,0,0.682634731,0
0.447201026,0.316546763,0.567567568,0.333333333,0.461538462,0.448979592,0.108070175,0.333333333,0.112273709,0,0.555688623,0
0.141612701,0.255395683,0.108108108,0.333333333,0.307692308,0.12244898,0.050526316,0.166666667,0.094004318,0,0.449101796,0
0.413641204,0.330935252,0.216216216,0.222222222,0.461538462,0.397959184,0.192280702,0.333333333,0.201959807,0,0.735329341,0
0.032354975,0.113848921,0.027027027,0.111111111,0.115384615,0.030612245,0.015052632,0,0.23019432,0,0.250898204,0
0.338410735,0.327338129,0.054054054,0.388888889,0.346153846,0.316326531,0.337192982,0.166666667,0.196562033,0,0.45508982,0
0.382553545,0.147302158,0,0.277777778,0.192307692,0.397959184,0.134035088,0.333333333,0.138432154,0,0.683233533,0
0.20403502,0.237410072,0.054054054,0.444444444,0.192307692,0.173469388,0.142105263,0.333333333,0.222305265,0,0.341317365,0
0.56805631,0.35971223,0.324324324,0.444444444,0.346153846,0.326530612,0.229122807,0,0.159608039,0,0.260479042,0
0.146029998,0.159352518,0,0,0.153846154,0.040816327,0.021824561,0.166666667,0.033383159,0,0.548502994,0
0.113458179,0,0,0,0.307692308,0.091836735,0.042105263,0,0.135193489,0,0.622754491,0
0.270611837,0.072841727,0.054054054,0.111111111,0.076923077,0.193877551,0.115087719,0,0.147151636,0,0.894610778,0
0.51674042,0.144604317,0.216216216,0.277777778,0.423076923,0.5,0.141052632,0.666666667,0.135940874,0,0.658682635,0
0.178919902,0.262589928,0.162162162,0.222222222,0.230769231,0.163265306,0.146315789,0,0.411227371,0,0.209580838,0
0.268142545,0.253597122,0.108108108,0.333333333,0.346153846,0.255102041,0.197192982,0.5,0.185351271,0,0.523952096,0
0.516253598,0.323741007,0.189189189,0.277777778,0.538461538,0.510204082,0.403508772,0,0.107291148,0,0.683832335,0
0.248630186,0.14676259,0,0,0.192307692,0.255102041,0.183157895,0.333333333,0.274206942,0,0.646706587,0
0.383670794,0.183453237,0.189189189,0,0.230769231,0.336734694,0.257894737,0.333333333,0.141338648,0,0.784431138,0
